LECROYWP804HD,2603,Waveform
Segments,1,SegmentSize,8652
Segment,TrigTime,TimeSinceSegment1
#1,02-Oct-2023 05:41:26,0                 
Time,Ampl
5.48764e+07,-69.7305
5.491455e+07,-69.7113
5.49527e+07,-70.29
5.499084e+07,-69.6992
5.502899e+07,-69.9353
5.506714e+07,-69.7545
5.510529e+07,-69.9089
5.514343e+07,-70.3894
5.518158e+07,-70.6575
5.521973e+07,-70.6649
5.525787e+07,-69.8627
5.529602e+07,-69.9003
5.533417e+07,-70.5591
5.537231e+07,-69.9918
5.541046e+07,-69.5146
5.544861e+07,-70.122
5.548676e+07,-70.2951
5.55249e+07,-69.8882
5.556305e+07,-69.8154
5.56012e+07,-70.0673
5.563934e+07,-70.0264
5.567749e+07,-70.3598
5.571564e+07,-70.2811
5.575378e+07,-70.1786
5.579193e+07,-70.4628
5.583008e+07,-70.2914
5.586823e+07,-69.9191
5.590637e+07,-70.222
5.594452e+07,-70.4178
5.598267e+07,-70.521
5.602081e+07,-70.482
5.605896e+07,-69.9773
5.609711e+07,-69.9006
5.613525e+07,-69.6999
5.61734e+07,-70.0198
5.621155e+07,-70.3204
5.624969e+07,-70.4138
5.628784e+07,-70.5145
5.632599e+07,-69.692
5.636414e+07,-69.8826
5.640228e+07,-70.1931
5.644043e+07,-70.6755
5.647858e+07,-70.4905
5.651672e+07,-70.4928
5.655487e+07,-70.6428
5.659302e+07,-70.8966
5.663116e+07,-70.8498
5.666931e+07,-70.5704
5.670746e+07,-70.3549
5.674561e+07,-70.1466
5.678375e+07,-70.281
5.68219e+07,-70.86
5.686005e+07,-70.9603
5.689819e+07,-70.3946
5.693634e+07,-70.3254
5.697449e+07,-70.8966
5.701263e+07,-70.6172
5.705078e+07,-70.6006
5.708893e+07,-70.5526
5.712708e+07,-70.4532
5.716522e+07,-70.8882
5.720337e+07,-70.9846
5.724152e+07,-70.5763
5.727966e+07,-70.7683
5.731781e+07,-70.8912
5.735596e+07,-70.7987
